question,answer,file
OpenLnL 운영 학생 공청회는 언제 개최하나요?,2024. 11. 5.(화) 12:00 ~ 13:00,[학부&대학원] OpenLnL 운영 학생 공청회 개최.txt
OpenLnL 운영 학생 공청회는 어디서 개최되나요?,중앙도서관 관정관 3층 양두석홀,[학부&대학원] OpenLnL 운영 학생 공청회 개최.txt
OpenLnL 운영 학생 공청회 누구를 대상으로 개최되나요?,LnL 프로그램에 관심 있는 학내 구성원 누구나,[학부&대학원] OpenLnL 운영 학생 공청회 개최.txt
서울 국제기후환경 포럼은 언제 개최되나요?,2024. 11. 7(목) 14:00~17:40,[기타] 2024 서울 국제기후환경 포럼 홍보.txt
서울 국제기후환경 포럼은 어디서 개최되나요?,"서울시청 본관 8층, 다목적홀",[기타] 2024 서울 국제기후환경 포럼 홍보.txt
서울 국제기후환경 포럼의 주제는 무엇인가요?,"플라스틱 제로, 새로운 나의 도시",[기타] 2024 서울 국제기후환경 포럼 홍보.txt
변호사시험 시험관리원의 자격요건은 무엇인가요?,학부 1~3학년 재학생,[학부] 제14회 변호사시험 시험관리원 모집.txt
변호사시험 시험관리원의 선발인원은 몇 명인가요?,23명(법무부 사저에 따라 예비인원 선발 가능),[학부] 제14회 변호사시험 시험관리원 모집.txt
변호사시험 시험관리원의 수당은 얼마인가요?,"평일 10만원, 휴일 12만원",[학부] 제14회 변호사시험 시험관리원 모집.txt
FSU 디즈니 프로그램 인턴의 근무 기간은 언제인가요?,2025년 6월 말~2026년 1월 초(6개월간),[학부] FSU 디즈니 프로그램 인턴 근무자 모집.txt
FSU 디즈니 프로그램 인턴에서 국제협력본부의 지원금은 얼마인가요?,"5,250,000원",[학부] FSU 디즈니 프로그램 인턴 근무자 모집.txt
FSU 디즈니 프로그램 인턴 참가 신청 서류 제출 기한은 언제까지인가요?,2024. 11. 18.(월)까지,[학부] FSU 디즈니 프로그램 인턴 근무자 모집.txt
데이터사이언스대학원 석사학위 논문심사를 위한 서류 제출 기한은 언제인가요?,2024. 9. 11.(수) ~ 9. 23.(월) 15:00,2024학년도 2학기 데이터사이언스대학원 석사학위 논문심사 계획 공고.txt
데이터사이언스대학원 석사학위 논문심사를 위한 논문 요지 제출 기한은 언제인가요?,2024. 9. 25.(수) ~ 9. 26.(목) 13:00 까지,2024학년도 2학기 데이터사이언스대학원 석사학위 논문심사 계획 공고.txt
데이터사이언스대학원 석사학위 논문심사를 위한 학위논문 PDF 원문 파일 제출기한은 언제인가요?,2025. 1. 17.(금) ∼ 2. 3.(월) 24:00,2024학년도 2학기 데이터사이언스대학원 석사학위 논문심사 계획 공고.txt